username,userid,created,text,retweets,followers,friends,polarity,subjectivity
Charlie Kirk,292929271,2019-12-08 13:20:34,This is your daily reminder that Obama weaponized the IRS against conservative groups who disagreed with his radica... https://t.co/GLLFkg8qF0,9807,1421417,235244,0.0,0.0
Dan Bongino,232901331,2019-12-07 19:10:09,"Obama supporters, and Obama, on the dreadful Obama economy: ""Bush did it!""

Obama supporters, and Obama, on the  vi... https://t.co/h4CVE7PAzp",11304,1325458,650,-1.0,1.0
Joyce Alene,548384458,2019-12-08 12:05:08,"As more details emerge, it's hard not to ask whether Trump will give even terrorism a whitewash if his business par... https://t.co/Oqu0yqt8HP",8485,425315,998,0.10416666666666666,0.5208333333333333
Charlie Kirk,292929271,2019-12-08 16:05:40,"Facts:

Obama's approval rating at this point in his presidency--46%

Trump's approval rating--52%

Despite a nonstop... https://t.co/7M44tkIm6z",12138,1421417,235244,0.0,0.0
Bill Kristol,2800581040,2019-12-08 16:44:28,"I don't normally do the ""Can you imagine the response from Republicans and conservatives if this were said by an Ob... https://t.co/63ie6wF2Hm",3611,558897,4465,0.15,0.6499999999999999
Donald J. Trump,25073877,2019-12-07 17:32:30,"Taken during the Obama Administration (despite $150 Billion gift), returned during the Trump Administration. Thank... https://t.co/vin8gXyEWs",15786,67354697,48,0.0,0.0
Charlie Kirk,292929271,2019-12-07 22:21:14,"Why is Barack Obama moving to Martha's Vineyard and so far away from his hometown of Chicago?

Could it be because,... https://t.co/lyhGwgUtTI",11055,1421417,235244,0.1,1.0
Tom Fitton,18266688,2019-12-09 02:35:19,"Obama, Clinton, Comey, McCabe, Biden, Rice, Kerry, Brennan, Clapper, McCabe, Lynch, Strzok, Page, DNC, Schiff and L... https://t.co/ORP4UCpILF",2736,734456,3093,0.0,0.0
Tom Fitton,18266688,2019-12-07 21:14:04,"""When are Hillary/Obama going to go under oath &amp; be asked tough questions about their involvement? When it comes to... https://t.co/keu3gZHmd3",3322,734456,3093,-0.3888888888888889,0.8333333333333334
Sara A. Carter,25202268,2019-12-07 15:30:00,"Can you do this in #Socialism?

In 2016 @BarackObama said: 

""Michelle &amp; I we did not finish paying off our... https://t.co/NIpCYDb6kh",11692,902391,4707,0.0,0.0
Jack Posobiec ðŸ‡ºðŸ‡¸,592730371,2019-12-08 14:36:31,"Ukrainian Whistleblower Blows Up Schiff's Lies - Says Obama Admin Pressured Ukraine All of the Time, Reveals name o... https://t.co/4xPYauH4Sc",2179,583373,992,0.0,0.0
Ben Rhodes,820354372827758592,2019-12-08 17:07:10,"If Obama was still President, just imagine the media-amplified Republican outrage we would be hearing about not say... https://t.co/1xO0ilwCIq",589,360665,1131,0.0,0.0
GOP,11134252,2019-12-07 22:26:00,"""Just like Obama's false promise 10 years ago, the Biden-Buttigieg promise that you can keep your plan is a lie.""
https://t.co/HBJ6aHgxiZ",684,2124706,1671,-0.4000000000000001,0.6
Charlie Kirk,292929271,2019-12-07 23:09:48,"Serious question:

Does anyone actually believe the mainstream media when they tell us that Joe Biden can beat Dona... https://t.co/riIQ8c4XXX",3842,1421417,235244,-0.16666666666666666,0.3833333333333333
The Epoch Times,29097819,2019-12-07 17:10:04,"""This evidence will all be released very soon.""

@RudyGiuliani promised the release of ""evidence"" that @JoeBiden an... https://t.co/yv2DoXAejD",669,163051,94,0.2,0.3
Jesse Kelly,34082620,2019-12-07 14:03:49,"""But unbeknownst to us, we grew up in the period -- as I write -- called 'white flight.' That as families like ours... https://t.co/VdNLyD6BIs",973,149425,954,0.0,0.0
Eric Boehlert,34643610,2019-12-07 13:50:16,"NYT calls 266k new jobs a ""blockbuster"" report. under Obama, there were 23 jobs reports 200k+. how many of those do... https://t.co/LYvgS6vLmj",1746,152165,933,0.3181818181818182,0.4772727272727273
Daily Caller,39308549,2019-12-07 15:00:32,The Obama Family Joins Martha's Vineyard Community With $11.7 Million Mansion Purchase. https://t.co/CThMaluSmA,184,566763,4925,0.0,0.0
Molly Jong-Fast,14298769,2019-12-07 12:42:48,This man now works in the state department.  https://t.co/PfXSm8IuxN,878,367913,5124,0.0,0.0
rafael,45122898,2019-12-07 15:05:38,".@PeteButtigieg openly lies in front of #PeteForAmerica supporters, Obama never let Warren head the CFPB and Obama... https://t.co/a2r8t7piIU",80,36043,3320,0.0,0.5
Diamond and SilkÂ®,2908170952,2019-12-06 22:23:39,"Hey y'all.  We have a question and need to know if this is true. 

Did the Obama admin give Pearson Publishing $350... https://t.co/KZSPvKCwnB",23631,1306072,45,0.35,0.65
Rick Tyler,261330050,2019-12-07 15:08:04,Yet the economy steadily grew under Obama albeit slowly. Trump's economy is growing at a similar pace (slowly). How... https://t.co/lujrXWN1O9,58,31739,21576,-0.10833333333333336,0.42499999999999993
Charlie Kirk,292929271,2019-12-03 00:45:17,"Remember:

Michael Horowitz is an Obama appointee

When Bill Barr says he rejects the Inspector General's conclusio... https://t.co/UdnX7IWlkV",13822,1421417,235244,0.05000000000000002,0.5
Rudy Giuliani,770781940341288960,2019-12-06 12:53:12,"Shocking disclosure: 

Much of the $5.3B in US Aid Ukraine reported as misused was given to the embassy's favored N... https://t.co/3tnyW0sEc0",16269,556868,259,0.0,0.7000000000000001
Liz Cheney,98471035,2019-12-04 16:52:57,These self-righteous liberal law professors (two of whom are Clinton/Obama donors) are a great reminder why the Ame... https://t.co/V5PfXMtnxb,10899,119373,617,0.8,0.75
Rudy Giuliani,770781940341288960,2019-12-06 03:36:33,The Accounts Chamber in Ukraine found an alleged misuse of $5.3B in U.S. funds during the Obama administration whil... https://t.co/vfDD6KFwix,32662,556868,259,-0.1,0.1
Rudy Giuliani,770781940341288960,2019-12-06 13:54:26,It comes as a huge shock to Democrats that @realDonaldTrump will ask for investigations concerning violations of US... https://t.co/BEdLsEprAu,17423,556868,259,0.4000000000000001,0.9
Charlie Kirk,292929271,2019-12-02 18:19:13,"September 2nd, 2016:

Lisa Page to Peter Strzok: ""POTUS wants to know everything we are doing""

Barack Obama knew a... https://t.co/OqOkoxtbw7",7910,1421417,235244,0.1,0.05
Natasha Bertrand,372536101,2019-12-03 16:27:19,"Wow, @juliaioffe reports that Lewis Lukens, the former deputy chief of mission at the U.S. embassy in London, was f... https://t.co/GImZxnTyrw",4899,568443,4875,0.05,0.5
Robert Reich,148529707,2019-12-02 20:50:07,"Remember when Trump used to criticize President Obama for golfing?

So far his golf trips have cost taxpayers more... https://t.co/QpAKnmesfq",5777,738720,307,0.3,0.75
Newt Gingrich,20713061,2019-12-02 00:05:59,Pres. Trump restored references to God in presidential #Thanksgiving proclamations after Obama abandoned them https://t.co/KBpNRf1PVz,3081,2169018,931,0.0,0.0
Bishop Talbert Swan,16873455,2019-12-01 12:32:51,"Evangelicals, Trump supporters, let's just have a moment of honesty:

You didn't hate Obama because of his POLICIES... https://t.co/tI5KXO8xjE",2724,135206,5222,-0.8,0.9
Charlie Kirk,292929271,2019-12-02 13:09:21,"Never forget:

Lisa Page texted Peter Strzok on September 9th, 2016 ""POTUS wants to know everything we're doing""

T... https://t.co/fniBuKloba",5480,1421417,235244,0.2,0.1
Ryan Fournier,166751745,2019-12-01 01:17:26,"1. Illegal aliens sign up for fake universities to get a fast-tracked work permits.

2. ICE arrests the aliens for... https://t.co/nEviE6RztY",8505,759739,321878,-0.5,0.75
Rudy Giuliani,770781940341288960,2019-12-02 12:26:15,"Even Congressional hearings must accord some due process. Process granted by a dictator is not ""due"" or constitutio... https://t.co/9iENGYqHQF",3352,556868,259,-0.03125,0.375
GOP,11134252,2019-12-01 12:32:00,Dems try to criticize President Trump's manufacturing record. The fact is--America's manufacturing sector is booming... https://t.co/YyY6IkU5NM,3521,2124706,1671,0.0,0.0
Bill Mitchell,17980523,2019-12-01 05:06:01,"Michelle Obama can ride off into the sunset, a very wealthy and unquestioned icon of the Left.  Or she can run for... https://t.co/RJl8u84wdB",3002,488008,9915,0.325,0.5
ProPublica,14606079,2019-12-01 19:30:05,"Trump has been president almost three years. 

He's already appointed four times more lobbyists to government jobs... https://t.co/l2nhPPXl0r",864,828968,470,0.5,0.5
J Owen Shroyer,337484648,2019-12-01 17:43:02,I want to correct a mistake I've made as a reporter for years now. I've repeatedly made false claims that Michelle... https://t.co/22WDgJwUfJ,2384,115603,765,-0.4000000000000001,0.6
Democratic Coalition,713839291210792960,2019-12-01 19:25:53,"""Obama inherited a massive $1.4 trillion shortfall and in eight years cut it by 60 percent. The shortfall has doubl... https://t.co/hrW80WNw89",1248,285727,24921,0.0,1.0
Joe Walsh,236487888,2019-11-30 17:21:26,"Remember during the 2016 campaign, at all those rallies, in front of all those supporters, when Donald Trump repeat... https://t.co/1p6aTo29N3",1757,229052,32235,0.0,0.0
Lee Camp [Redacted],19580890,2019-12-02 15:12:00,"Bill Clinton (D) escalated US militarism
Bush (R) escalated US militarism
Obama (D) escalated US militarism
Trump (... https://t.co/qKmeb95yrS",797,113567,13929,0.0,0.0
Breitbart News,457984599,2019-12-01 21:23:06,"Obama had EIGHT YEARS to address Global Warming. Besides, if you're not talking about China then you're not serious... https://t.co/XtQMnmJddV",1959,1209442,113,0.08333333333333333,0.3333333333333333
Dr Gina,20118767,2019-11-30 15:00:39,"FACT: Obama put children in cages.  

@realDonaldTrump had to fix that, too. 

Never let the left lie to you about  #facts.",2372,192314,43172,0.0,0.0
Glenn Greenwald,16076032,2019-12-01 13:16:19,"Liberals who cheer the US Government's indictment and attempted extradition of Julian Assange - which, from what I... https://t.co/rR11qA0CYg",295,1408995,991,0.0,0.0
David Frum,18686907,2019-11-30 13:59:49,In 2010 I spoke on ABC's Nightline about the danger of Fox's radicalization since the election of Obama. In the 9 y... https://t.co/qZfMuwZH3J,991,812990,832,0.0,0.0
CNN,759251,2019-11-30 14:28:34,"""President Obama is a conservative,"" @Swerdlick tells @smerconish. 

Obama ""believed in using government to change... https://t.co/A97jk21xa6",151,43756249,1107,0.0,0.0
Glenn Greenwald,16076032,2019-11-30 13:41:50,"I also find it unclear why Democrats who malign @TulsiGabbard for ""booking herself"" on Tucker Carlson - aside from... https://t.co/lsXu9NHgbj",148,1408995,991,0.0,0.0
"Nan Hayworth, M.D.",236541422,2019-11-30 13:31:07,"@DVJakeL @charliekirk11 Let me take a crack at that one, Jake, since I was in Congress when the @GOP recovered the... https://t.co/f1myIJEUYg",120,15095,8816,0.0,0.0
Kyle Smith,14133760,2019-11-30 14:11:58,Turns out the day after I published these words the Syracuse story was shown to be a hoax. https://t.co/ajgA4PBTQC https://t.co/1zXKOfkTZ2,141,20559,2006,0.0,0.0
